Name,Frequency
'Draw,1
'Story,1
Him',1
'Passes,1
Given'],1
Maguire,1
Bathing,1
Glasgow',1
Pat,1
Gallant',1
Lucy,1
Gray,1
Dear',1
'Weak,1
Maria'],1
['Noo,1
['Jenie,1
My'],1
'Nil,1
"[""Who",1
Nan'],1
Ray'],1
Jim',1
Madam,1
Nature'],1
['Story,1
Tellers',1
'Clyde,1
Battle',1
Flood,1
['Jenny,1
Makree',1
Nettles,1
Singing',1
Rattle',1
'Use,1
Jenny,1
Nettle'],1
['Green,1
Balgay'],1
['Eileen,1
Alannah,1
Kathleen,1
Mavourneen,1
'Mother,1
Lawder'],1
Broon'],1
'Fine,1
Drappie',1
'Danger,1
Signal',1
'Causey,1
Stones'],1
Bit,1
Plan',1
'Danny,1
'Engine,1
Driver',1
['Luther,1
Mills',1
Big,1
Beigham'],1
['Jemima,1
['Bauldy,1
Strang'],1
['Mister,1
Pond'],1
Arcade'],1
['Balloon,1
Magaire,1
Tramp',1
'Dishclout,1
Knight,1
Templar'],1
Most',1
'Pedigree,1
Could',1
"M'Carell""",1
Torrance',1
Willie',1
Main',1
Joseph,1
"[""Alex",1
"M'Dermid""",1
Conacher',1
Mackechnie',1
"""JOHN",1
"M'DONALD""",1
Munningall',1
Gallaghen',1
"""C",1
Mourne',1
Devan',1
"[""Kenneth",1
Niven',1
"M'Queen""",1
Laidlaw',1
'Moss,1
Hadkin',1
Herbert,1
Rodgers',1
'Mara,1
.Gardner',1
Redpath',1
'Fisher,1
"M'Pherson""]",1
Liston',1
'Niel,1
'Melcom,1
McArthur',1
McLardy',1
Monnagall',1
Gallogher',1
Qnin',1
'Jn,1
McCaral',1
Ruthven',1
Humer',1
'Jonn,1
Foy',1
McKan',1
"""Grace",1
'Scott,1
Housebreaking',1
Steel',1
Weir'],1
Frazer'],1
['Josiah,1
Habakkuk'],1
['Rob,1
