,name,time
2066,Loyal Whig Sir,1
1990,James Boatson,1
1998,George Briden,1
2064,Scotlands Conductor,1
2051,Faithful Witness,1
2052,Sword Swallowers,1
1997,Hellish Plots,1
1996,Jeanie Shaw,1
2055,Melly Molone,1
2056,Auld Bawsie,1
2057,Captain Gardon,1
2058,Forget Baird,1
1994,Daniel Morgan,1
2059,Lord Swinton,1
2060,Gordon G. My,1
1993,Who 't,1
1992,Horse Stealing,1
2061,Janet Anderson,1
2062,Earl Grey,1
1991,Grunt Mon,1
2063,Peter Rice,1
2152,My Elegie,1
2153,Barney Collins,1
2286,Dark Hair,1
2232,Dramatis Personæ,1
2234,Patrick Curran,1
2235,Nicol Muschet,1
2236,Abraham Johnston,1
2237,Adkins Millennium,1
1920,Rullion Green,1
2238,Sonsie Union Laddie,1
2239,Put Prælacie,1
2240,Alexander Latham,1
2241,Ironmooger William Young,1
2242,Chrlie Mash,1
2243,Will Grasp,1
2244,Bleeching Knocks,1
2245,J. P.,1
1919,Ann Semple,1
2246,John M'clatchy,1
2247,George Lind,1
2248,Let Liberty,1
2233,John Wehster,1
2231,Burgundy Wine,1
2250,William Bolamgall,1
2230,Glasgow Jul,1
2220,George Arniel,1
1929,Robert Syme,1
2221,Michael Pirnie,1
1928,Giles Street,1
1927,James Wilkison,1
2223,David Sharp,1
1926,Rebells Shall,1
2224,David Barcley,1
2225,Gain Swear,1
2226,Lord Ross,1
1925,Sir Alexander Charles Maitland Gibson,1
1924,Cousin Andrew,1
1923,Lanwart Maggie,1
2227,Bloody Knave,1
2228,Major White,1
1922,Half Midwife,1
2229,William Cumming,1
2249,Subscription Sale,1
1918,Brave Daniel,1
1930,Maggie Riddel,1
2015,Johann Southcott,1
1911,From Castleblaney,1
2270,Nor Rigitness,1
2271,Archibald M'Allum,1
2272,Heather Jeck,1
2273,C M'Cann,1
1910,John Dunlop,1
2274,John Buchanan Buchan,1
2275,Roy Guilty,1
2276,Andrew Hastie,1
2277,Malachi Clinton,1
2278,Andrew Pollock,1
2279,John Colcleugh,1
2280,Sure Biddy,1
2281,Brave Althorpe,1
1908,Margaret Bishop,1
2284,John Ogilvie,1
2285,Poor Jamie,1
1912,Isobel Young,1
2268,James Gow,1
2252,Johu Learmonth,1
2267,Shammy Gloves,1
1917,Falkirk Tryst,1
2254,Pund Scots Is,1
1916,Than Puppil,1
1915,Ilay Ferrier,1
1914,Man Would,1
2255,Tonald Tearlech,1
2256,Guilty Soul,1
2257,John Conner,1
2258,Mathew Grass,1
2259,Than Men,1
2260,DAVID DOBIE,1
2261,Young Catherine,1
2262,Captain Sibbald,1
2263,Placards Emitted,1
2264,Douce Judgment,1
2265,Drink Watter,1
2266,True Scotsmen,1
2219,Ane Auncient Ballade,1
1931,Janet .Gardner,1
1956,Margaret Armour,1
1949,JOHN MILL,1
2169,Dear Peggie,1
2170,Mr. William Shepherd,1
2171,Thomas Bodkin,1
